time	V(vc_vo)
6.303461017242656e-002	1.963513e+001
6.308338391311374e-002	1.968191e+001
6.313050985188390e-002	1.963038e+001
6.321050985188392e-002	1.930931e+001
6.329050985188395e-002	1.871973e+001
6.337050985188397e-002	1.784850e+001
6.345050985188400e-002	1.672945e+001
6.353050985188402e-002	1.540828e+001
6.361050985188405e-002	1.394145e+001
6.369050985188407e-002	1.239574e+001
6.377050985188409e-002	1.084688e+001
6.385050985188412e-002	9.377337e+000
6.393050985188414e-002	8.073355e+000
6.401050985188417e-002	7.021170e+000
6.409050985188419e-002	6.302493e+000
6.417050985188422e-002	5.989610e+000
6.425050985188424e-002	6.140527e+000
6.433050985188427e-002	6.794507e+000
6.441050985188429e-002	7.968102e+000
6.449050985188432e-002	9.651269e+000
6.457050985188434e-002	1.180132e+001
6.465050985188436e-002	1.432516e+001
6.473050985188439e-002	1.701108e+001
6.477826847582052e-002	1.834036e+001
6.482873969045822e-002	1.918158e+001
6.484449203282755e-002	1.931418e+001
6.485965011717032e-002	1.938937e+001
6.487745011989898e-002	1.945977e+001
6.490257780014097e-002	1.953588e+001
6.495283316062495e-002	1.964205e+001
6.499922903872646e-002	1.966613e+001
6.507922903872648e-002	1.949999e+001
6.515922903872651e-002	1.906791e+001
6.523922903872653e-002	1.834285e+001
6.531922903872656e-002	1.734955e+001
6.539922903872658e-002	1.612781e+001
6.547922903872661e-002	1.472872e+001
6.555922903872663e-002	1.321381e+001
6.563922903872665e-002	1.165440e+001
6.571922903872668e-002	1.012980e+001
6.579922903872670e-002	8.724858e+000
6.587922903872673e-002	7.526500e+000
6.595922903872675e-002	6.619604e+000
6.603922903872678e-002	6.082236e+000
6.611922903872680e-002	5.980705e+000
6.619922903872683e-002	6.364850e+000
6.627922903872685e-002	7.263813e+000
6.635922903872688e-002	8.682211e+000
6.643922903872690e-002	1.059583e+001
6.651922903872692e-002	1.294246e+001
6.659922903872695e-002	1.556996e+001
6.667922903872697e-002	1.801086e+001
6.673024491219776e-002	1.904959e+001
6.675237510837873e-002	1.927015e+001
6.677414806272741e-002	1.938740e+001
6.680213111868844e-002	1.949512e+001
6.683466646569802e-002	1.958087e+001
6.689973715971720e-002	1.966367e+001
6.696068732339922e-002	1.960337e+001
6.704068732339924e-002	1.926983e+001
6.712068732339926e-002	1.865596e+001
6.720068732339929e-002	1.776223e+001
